	Аахен		Аахенъ
 	интермеццо		интермеццо	 
 	интерн		интернъ	 
 	интернат		интернатъ, въ интернатѣ	 
 	интернационал		интернаціоналъ	 
 	интернационализм		интернаціонализмъ	 
 	интернациональный		интернаціональный, интернаціональнаго	 
 	интернет		интернетъ, въ интернетѣ	 
 	интерпелляция		интерпелляція	 
 	интерполяция		интерполяція	 
 	интерпретация		интерпретація	 
 	интерпунктация		интерпунктація	 
 	интеррекс		интеррексъ	 
 	интерстициальный		интерстиціальный	 
 	интерференция		интерференція, интерференціей	 
 	интерцессия		интерцессія	 
 	интерьер		интерьеръ, въ интерьерѣ	 
 	интуиция		интуиція, интуиціей	 
 	инфантерия		инфантерія, генералъ отъ инфантеріи,	 
 	инфекция		инфекція, инфекціей	 
 	инферии		инферіи	 
 	инфернальный		инфернальный	 
 	инфлексия		инфлекція	 
 	инфлюэнца		инфлуэнца и инфлюэнца	 
 	информационные		информаціонные, информаціонныя, информаціонныя технологіи	 
 	информация		информація, информаціей	 
 	инфузория		инфузорія	 
 	инцест		инцестъ	 
 	инцидент		инцидентъ, не инциндентъ!	 
 	иные		иные, иныя	 
 	инъекция		инъекція, инъекціей	 
 	инъецировать		инъецировать	 
 	инъюнкция		инъюнкція	 
 	Иоавилла		Іоавилла
 	Иоад		Іоадъ	 
 	Иоаким		Іоакимъ, Акимъ	 
 	Иоанн		Іоаннъ, Иванъ	 
 	Иоанна		Іоанна	 
 	Иоанникий		Іоанникій	 
 	Иоасаф		Іоасафъ	 
 	Иоафан		Іоафанъ	 
 	Иов		Іовъ	 
 	Иоганн		Іоганнъ Себастьянъ Бахъ, Іоганнъ Вольфгангъ фонъ Гёте	 
 	Иокаста		Іокаста	 
 	Иокогама		Іокогама	 
 	иомены		іомены	 
 	ион		іонъ	 
 	Иона		Іона	 
 	Ионафан		Іонаѳанъ	 
 	иониец		іоніецъ, іонійцемъ, іонійцевъ	 
 	ионический		іоническій, іонійскій	 
 	Ионическое		Іоническое	 
 	Иония		Іонія	 
 	Иордан		Іорданъ	 
 	иордань		іордань	 
 	Иосиф		Іосифъ, Осипъ	 
 	Иофор		Іофоръ	 
 	ипакои		ипакои и цeрк. ѵпакои, ипакой
 	ипат		ипатъ — уcтap.	 
 	Ипатий		Ипатій, Ипатъ	 
 	Ипатьевский		Ипатьевскій	 
 	ипекакуана		ипекакуана	 
 	иподиакон		иподіаконъ и цeрк. ѵподіаконъ	 
 	Ипокрена		Ипокрена	 
 	ипокрит		ипокритъ	 
 	ипомея		ипомея	 
 	ипостась		ипостась и цeрк. ѵпостась	 
 	ипотека		ипотека, объ ипотекѣ	 
 	ипотечного		ипотечнаго	 
 	ипотечное		ипотечное	 
 	ипотечные		ипотечные, ипотечныя	 
 	ипотечный		ипотечный, ипотечнаго	 
 	Ираклий		Ираклій, Ираклъ
 	Ириней		Ириней	 
 	Иркутский		Иркутскій	 
 	Ирландия		Ирландія	 
 	ирмологий		ирмологій, ирмологіонъ	 
 	Иродиада		Иродіада	 
 	Иродион		Иродіонъ	 
 	ирокез		ирокезъ, ирокезецъ	 
 	иронические		ироническіе, ироническія	 
 	иронический		ироническій, ироническаго	 
 	иронического		ироническаго	 
 	ироническое		ироническое	 
 	ироничнее		ироничнѣе	 
 	ироничного		ироничнаго	 
 	ироничное		ироничное	 
 	ироничные		ироничные, ироничныя	 
 	ирония		иронія, съ ироніей	 
 	Ирпень		Ирпень	 
 	иррегулярный		иррегулярный	 
 	Исаак		Исаакъ
 	Исаакиевский		Исакіевскій	 
 	Исаев		Исаевъ	 
 	Исайя		Исаія	 
 	Исакий		Исакій	 
 	Исеть		Исеть	 
 	Исихий		Исихій	 
 	искажение		искаженіе	 
 	искажённый		искажённый, искажённаго	 
 	искалеченный		искалѣченный, искалѣченнаго	 
 	искалечить		искалѣчить	 
 	искание		исканіе, исканія, исканій	 
 	искателем		искателемъ	 
 	искатель		искатель, искателемъ, объ	 
 	Искер		Искеръ	 
 	исклёванный		исклёванный	 
 	исклевать		исклевать	 
 	исклюёт		исклюётъ	 
 	исключение		исключеніе	 
 	исключённый		исключённый, исключённаго	 
 	исключено		исключено	 
 	исключительно		исключительно	 
 	исключительного		исключительнаго	 
 	исключительное		исключительное	 
 	исключительные		исключительные, исключительныя	 
 	исключительный		исключительный, исключительнаго	 
 	исковерканный		исковерканный, исковерканнаго	 
 	исколенный		исколенный, исколеннаго	 
 	исколесить		исколесить	 
 	искомое		искомое, искомаго	 
 	искомые		искомые, искомыя	 
 	исконен		исконенъ	 
 	искони		искони	 
 	исконно		исконно, исконный	 
 	исконное		исконное	 
 	исконные		исконные, исконныя	 
 	исконный		исконный, исконнаго	 
 	ископаемое		ископаемое	 
 	ископаемые		ископаемые, ископаемыя; полезныя ископаемыя	 
 	искорёженный		искорёженный, искорёженнаго	 
 	искоренение		искорененіе	 
 	искоренённый		искоренённый	 
 	искренен		искрененъ, искренна, искренны	 
 	искрение		искреніе	 
 	искренне		искренне и искренно	 
 	искреннего		искренняго	 
 	искреннее		искреннѣе, но искреннее участіе	 
 	искренни		искренни и искренны	 
 	искренние		искренніе, искреннія	 
 	искренний		искренній, искренняго	 
 	искренно		искренно и искренне	 
 	искренны		искренны и искренни	 
 	искривление		искривленіе	 
 	искривлённый		искривлённый	 
 	искромётный		искромётный, искромётнаго	 
 	искрошенный		искрошенный	 
 	искупительный		искупительный	 
 	искупление		искупленіе	 
 	искуситель		искуситель, объ искусителѣ	 
 	искуснее		искуснѣе	 
 	искуснейшие		искуснѣйшіе, искуснѣйшія	 
 	искуснейший		искуснѣйшій	 
 	искусно		искусно	 
 	искусного		искуснаго	 
 	искусное		искусное	 
 	искусные		искусные, искусныя	 
 	искусный		искусный	 
 	искусственного		искусственнаго	 
 	искусственно		искусственно	 
 	искусственное		искусственное	 
 	искусственные		искусственные, искусственныя	 
 	искусственный		искусственный	 
 	искусство		искусство, въ искусствѣ	 
 	искусствовед		искусствовѣдъ	 
 	искусствоведение		искусствовѣдѣніе	 
 	искушение		искушеніе	 
 	искушённый		искушённый, искушённаго	 
 	Искья		Искья, Искія	 
 	Исландия		Исландія	 
 	испанец		испанецъ, испанцемъ, объ испанцѣ	 
 	Испания		Испанія	 
 	испанский		испанскій, испанскаго, по-испански	 
 	испарение		испареніе	 
 	испарённый		испарённый	 
 	испей		испей, испейте	 
 	испёкся		испёкся	 
 	испекать		испекать	 
 	испепелённый		испепелённый	 
 	испепелить		испепелить	 
 	испечённый		испечённый	 
 	испечь		испечь	 
 	испещрение		испещреніе	 
 	испещрённый		испещрённый	 
 	испиленный		испиленный	 
 	исплёванный		исплёванный	 
 	исповедальный		исповѣдальный	 
 	исповедание		исповѣданіе	 
 	исповедать		исповѣдать	 
 	исповедаться		исповѣдаться	 
 	исповедник		исповѣдникъ	 
 	исповедный		исповѣдный	 
 	исповедовать		исповѣдывать	 
 	исповедоваться		исповѣдоваться, но исповѣдывать	 
 	исповедь		исповѣдь	 
 	исподлобья		исподлобья и изподлобья	 
 	исподнего		исподняго	 
 	исподнее		исподнее	 
 	исподний		исподній, исподняго, въ исподнемъ, исподнее	 
 	исподличаться		изподличаться	 
 	исподтишка		исподтишка	 
 	испокон		испоконъ	 
 	исполать		исполать — уcтap., исполать тебѣ!, ранѣе ѵсполать	 
 	исполнение		исполненіе	 
 	исполнитель		исполнитель, объ исполнителѣ, исполнителемъ	 
 	исполу		исполу, испольщина	 
 	используемый		используемый, используемаго	 
 	использует		используетъ	 
 	используете		используете	 
 	испорченный		испорченный, испорченнаго	 
 	исправительный		исправительный, исправительнаго	 
 	исправление		исправленіе	 
 	исправленный		исправленный, исправленнаго	 
 	испражнение		испражненіе	 
 	испрошенный		испрошенный	 
 	испрямлённый		испрямлённый	 
 	испуг		испугъ, въ испугѣ, съ испугу	 
 	испугает		испугаетъ	 
 	испугается		испугается	 
 	испуганные		испуганные, испуганныя	 
 	испытает		испытаетъ, испытаемъ, испытаешь	 
 	испытание		испытаніе	 
 	испытанием		испытаніемъ	 
 	испытания		испытанія	 
 	испытанное		испытанное	 
 	испытанные		испытанные, испытанныя	 
 	испытательный		испытательный	 
 	испытуемый		испытуемый	 
 	испытывает		испытываетъ, испытываемъ, испытываешь	 
 	Иссахар		Иссахаръ	 
 	исседоны		исседоны	 
 	иссекать		изсѣкать	 
 	иссечение		изсѣченіе	 
 	иссера-голубой		изсѣра-голубой	 
 	иссиза-синий		изсиза-синій	 
 	иссиня-чёрный		изсиня-чёрный	 
 	исследование		изслѣдованіе, изслѣдованія	 
 	исследованного		изслѣдованнаго	 
 	исследованное		изслѣдованное	 
 	исследованные		изслѣдованные, изслѣдованныя	 
 	исследованный		изслѣдованный, изслѣдованнаго	 
 	исследователь		изслѣдователь, объ изслѣдователѣ	 
 	исследовательский		изслѣдовательскій, изслѣдовательскаго	 
 	исследовать		изслѣдовать	 
 	исследуем		изслѣдуемъ	 
 	исследуемый		изслѣдуемый	 
 	исследует		изслѣдуетъ	 
 	исследуешь		изслѣдуешь	 
 	исследуют		изслѣдуютъ	 
 	исслюнить		изслюнить	 
 	исслюнявленный		изслюнявленный	 
 	иссоп		иссопъ, цeрк. ѵссопъ	 
 	иссосать		изсосать	 
 	иссохнуть		изсохнуть	 
 	исстари		изстари	 
 	исстёгивать		изстёгивать	 
 	исстрелять		изстрѣлять	 
 	исстрогать		изстрогать	 
 	исстрочить		изстрочить	 
 	исстругать		изстругать, изстружить	 
 	исступление		изступленіе	 
 	иссучивать		изсучивать	 
 	иссушать		изсушать	 
 	иссушенный		изсушенный	 
 	иссушить		изсушить	 
 	Иссык-Куль		Иссыкъ-Куль, иссыкъ-кульскій	 
 	иссылать		изсылать	 
 	иссяк		изсякъ	 
 	иссякнет		изсякнетъ, изсякнете, изсякнемъ, изсякнешь, изсякнутъ, изсякнуть	 
 	иссякшего		изсякшаго	 
 	иссякшее		изсякшее	 
 	иссякшие		изсякшіе, изсякшія	 
 	иссякший		изсякшій, изсякшаго	 
 	истевоны		истевоны	 
 	истёкший		истёкшій	 
 	истекать		истекать	 
 	истереть		истереть	 
 	истерзанный		истерзанный, истерзаннаго	 
 	истерзать		истерзать	 
 	истерика		истерика, въ истерикѣ	 
 	истерический		истерическій, истерическаго	 
 	истеричка		истеричка	 
 	истерия		истерія	 
 	истёртый		истёртый, истёртаго	 
 	истёршийся		истёршійся	 
 	истёсанный		истёсанный	 
 	истец		истецъ, объ истцѣ	 
 	истечение		истеченіе, по истеченіи	 
 	истечёт		истечётъ	 
 	истечь		истечь	 
 	истина		истина, истинный, истинна, объ истинѣ	 
 	истинен		истиненъ	 
 	истинна		истинна, истина	 
 	истинное		истинное, истиннаго	 
 	истинные		истинные, истинныя	 
 	истлевать		истлѣвать	 
 	истлеть		истлѣть, истлѣлъ	 
 	истмийские		истмійскія игры ж. р.	 
 	истое		истое, истаго	 
 	истолчённый		истолчённый	 
 	истомлённый		истомлённый, истомлённаго	 
 	истончённый		истончённый	 
 	истопленный		истопленный	 
 	исторгаемый		исторгаемый	 
 	исторженный		исторженный	 
 	историография		исторіографія	 
 	исторические		историческіе, историческія	 
 	исторический		историческій, историческаго	 
 	исторического		историческаго	 
 	историческое		историческое	 
 	историей		исторіей	 
 	история		исторія, въ исторіи, исторію, историкъ, историческое	 
 	источаемый		источаемый	 
 	источенный		источенный	 
 	источённый		источённый	 
 	источник		источникъ, въ источникѣ	 
 	истощение		истощеніе	 
 	истощённый		истощённый, истощённаго	 
 	истраченный		истраченный, истраченнаго	 
 	истребитель		истребитель, объ истребителѣ	 
 	истребление		истребленіе	 
 	истреблённый		истреблённый, истреблённаго	 
 	истрёпанный		истрёпанный, истрёпаннаго	 
 	истрепать		истрепать	 
 	истрескаться		истрескаться	 
 	Истрия		Истрія, истрійскій	 
 	иступление		иступленіе	 
 	истые		истые, истыя	 
 	истязание		истязаніе	 
 	истязуемый		истязуемый	 
 	Исфендиар		Исфендіаръ	 
 	исхлёстанный		исхлёстанный	 
 	исхлестать		исхлестать	 
 	исход		исходъ, на исходѣ	 
 	исходатайствовать		исходатайствовать	 
 	исходите		исходите	 
 	исходного		исходнаго	 
 	исходное		исходное	 
 	исходные		исходные, исходныя	 
 	исхождение		исхожденіе	 
 	исхуделый		исхудѣлый	 
 	исцарапать		исцарапать и изцарапать	 
 	исцеление		исцѣленіе	 
 	исцелённый		исцѣлённый, исцѣлённаго	 
 	исцелил		исцѣлилъ	 
 	исцелить		исцѣлить	 
 	исцелять		исцѣлять	 
 	исчадие		исчадіе	 
 	исчез		исчезъ, исчезла, исчезли, исчезло	 
 	исчезает		исчезаетъ, исчезаете, исчезаемъ, исчезаешь, исчезаютъ	 
 	исчезать		исчезать	 
 	исчезнет		исчезнетъ, исчезнете, исчезнемъ, исчезнешь, исчезнутъ	 
 	исчезновение		исчезновеніе	 
 	исчёрканный		исчёрканный	 
 	исчерна		исчерна	 
 	исчернённый		исчернённый	 
 	исчерпать		исчерпать	 
 	исчерпывающий		исчерпывающій	 
 	исчерченный		исчерченный	 
 	исчёсанный		исчёсанный	 
 	исчисление		исчисленіе	 
 	исчисленный		исчисленный	 
 	исшершавить		исшершавить	 
 	исшить		исшить и изшить, изошью, изошьёшь	 
 	исщерблённый		исщерблённый	 
 	исщепать		исщепать и изщепать, исщеплетъ	 
 	исщипать		исщипать и изщипать, исщиплетъ, исщипетъ	 
 	итак		итакъ, но и такъ далѣе
 	италиец		италіецъ	 
 	италийский		италійскій	 
 	Италия		Италія	 
 	итальянец		итальянецъ, италіанецъ, итальянцемъ, объ итальянцѣ	 
 	итальянские		италіанскіе, италіанскія	 
 	итальянский		италіанскій, итальянскій, итальянскаго, по-итальянски	 
 	итальянское		италіанское	 
 	итог		итогъ, въ итогѣ, итоги	 
 	итогового		итоговаго	 
 	итоговое		итоговое	 
 	итоговые		итоговые, итоговыя	 
 	итоговый		итоговый, итоговаго	 
 	итожение		итоженіе и итоженье, итоженный	 
 	иттербий		итербій	 
 	иттрий		итрій	 
 	Иуда		Іуда
 	иудаизм		іудаизмъ, въ іудаизмѣ	 
 	иудеев		іудеевъ	 
 	иудеек		іудеекъ	 
 	иудей		іудей, объ іудеѣ	 
 	иудейка		іудейка, объ іудейкѣ	 
 	иудейская		іудейская, іудейской	 
 	иудейские		іудейскіе, іудейскія	 
 	иудейский		іудейскій, іудейскаго	 
 	иудейскими		іудейскими	 
 	иудейских		іудейскихъ	 
 	иудейского		іудейскаго	 
 	иудейскую		іудейскую	 
 	иудейство		іудейство	 
 	Иудея		Іудея, въ Іудеѣ	 
 	иудеями		іудеями	 
 	Ифигения		Ифигенія
 	Ификрат		Ификратъ	 
 	ифимб		иѳимбъ	 
 	ифифаллы		иѳифаллы	 
 	ихний		ихній, ихняго, ихнее, ихніе, ихнія, ихняя, ихнимъ, ихними, объ ихнемъ, объ ихней
 	ихтиозавр		ихтіозавръ	 
 	ихтиология		ихтіологія	 
 	ишиас		ишіасъ, при ишіасѣ; не ишіасъ!
 	ишемия		ишемія	 
 	ищейка		ищейка
 	ищем		ищемъ	 
 	ищет		ищетъ	 
 	ищете		ищете, но ищите	 
 	ищется		ищется	 
 	ищите		ищите, но ищете	 
 	ищу		ищу, ищешь, ищетъ, ищемъ, ищете	 
 	июль		іюль, въ іюлѣ, іюльскій, седьмого іюля
 	июнь		іюнь, въ іюнѣ, іюньскій, шестого іюня	 
 	Ия		Ія
 	Йеллоустон		Іеллоустонъ
 	Йель		Іель	 
 	Йемен		Іеменъ, въ Іеменѣ	 
 	Йена		Іена, въ Іенѣ	 
 	йети		іети	 
 	Йиглава		Іиглава
 	йог		іогъ, о іогѣ
 	йога		іога, въ іогѣ	 
 	йогурт		іогуртъ, въ іогуртѣ	 
 	йогуртовый		іогуртовый, іогуртоваго	 
 	йод		іодъ	 
 	йодат		іодатъ	 
 	йодид		іодидъ	 
 	йодинол		іодинолъ	 
 	йодированный		іодированный	 
 	йодисто-водородный		іодисто-водородный	 
 	йодистый		іодистый	 
 	Йожеф		Іожефъ	 
 	Йокаи		Іокаи	 
 	Йонна		Іонна	 
 	Йорк		Іоркъ, въ Іоркѣ	 
 	Йоркшир		Іоркширъ, въ Іоркширѣ	 
 	йота		іота	 
 	Йоханнесбург		Іоганнисбергъ, въ Іоганнисбергѣ
	ка 	кабак		кабакъ, въ кабакѣ
 	кабала		кабала, въ кабалѣ	 
 	кабаление		кабаленіе	 
 	кабалетта		кабалетта	 
 	кабан		кабанъ, о кабанѣ	 
 	кабанёнок		кабанёнокъ	 
 	кабаре		кабарэ	 
 	кабаретница		кабаретница, ср. менажница	 
 	кабатчик		кабатчикъ	 
 	кабацкий		кабацкій, кабацкаго	 
 	кабель		кабель, на кабелѣ	 
 	кабельтов		кабельтовъ	 
 	кабестан		кабестанъ	 
 	кабинет		кабинетъ, въ кабинетѣ, кабинетецъ	 
 	каблук		каблукъ, на каблукѣ	 
 	каблучок		каблучокъ, на каблучкѣ	 
 	каботьёр		каботьёръ	 
 	кабриолет		кабріолетъ, въ кабріолетѣ	 
 	кабриоль		кабріоль	 
 	кабы		кабы я была царица, если бы да кабы	 
 	кавалер		кавалеръ	 
 	кавалергард		кавалергардъ	 
 	кавалерия		кавалерія	 
 	кавалетто		кавалетто	 
 	кавальер		кавальеръ	 
 	кавальеро		кавальеро	 
 	кавардак		кавардакъ	 
 	каверза		каверза	 
 	каверна		каверна	 
 	кавет		каветъ	 
 	Кавказ		Кавказъ, на Кавказѣ	 
 	кавказец		кавказецъ, о кавказцѣ, кавказцемъ	 
 	кавказские		кавказскіе, кавказскія	 
 	кавказское		кавказское, кавказскаго	 
 	кавычка		кавычка и ковычка, кавычекъ	 
 	каганец		каганецъ, каганъ	 
 	каганечный		каганечный	 
 	каденция		каденція	 
 	кадет		кадетъ, о кадетѣ	 
 	кадетский		кадетскій, кадетскаго	 
 	кадмий		кадмій	 
 	кадуцей		кадуцей	 
 	кадушечка		кадушечка, въ кадушечкѣ	 
 	кадушка		кадушка, въ кадушкѣ	 
 	каёмка		каёмка	 
 	каёмочка		каёмочка	 
 	каёмчатый		каёмчатый	 
 	каепутовое		каепутовое, кайюпутовое	 
 	каждение		кажденіе	 
 	каждого		каждаго	 
 	каждодневный		каждодневный	 
 	каждое		каждое	 
 	каждые		каждые, каждыя	 
 	каждый		каждый, каждаго	 
 	кажемся		кажемся	 
 	кажется		кажется, казаться	 
 	кажешься		кажешься	 
 	казак		казакъ и козакъ, о казакѣ	 
 	казацкий		казацкій, казацкаго, казацкое	 
 	казачество		казачество, о казачествѣ	 
 	казачий		казачій, казачьяго, казачье, казачьей	 
 	казачок		казачокъ	 
 	казачье		казачье, казачьяго	 
 	казачьего		казачьяго	 
 	Казбек		Казбекъ, на Казбекѣ	 
 	казеин		казеинъ	 
 	каземат		казематъ, въ казематѣ	 
 	казёнка		казёнка	 
 	казённик		казённикъ	 
 	казённое		казённое	 
 	казённокоштный		казённокоштный	 
 	казённые		казённые, казённыя	 
 	казённый		казённый	 
 	казёнщина		казёнщина	 
 	казинет		казинетъ	 
 	Казимир		Казимиръ	 
 	казна		казна, въ казнѣ	 
 	казначей		казначей	 
 	казначейский		казначейскій, казначейскаго	 
 	казнённый		казнённый, казнённаго	 
 	казнодей		казнодѣй	 
 	Каиафа		Каіафа	 
 	Кайафа		Каіафа	 
 	Кайен		Кайенъ	 
 	Кайенна		Кайенна	 
 	кайеннский		кайеннскій	 
 	кайзер		кайзеръ	 
 	кайма		кайма, коймы	 
 	каймённый		каймённый	 
 	каймлю		каймю	 
 	кайюпутовое		кайюпутовое, каепутовое	 
 	какавелла		какавелла, какаовелла	 
 	какао		какао	 
 	как-будто		какъ-будто	 
 	как же		какъ-же	 
 	какие		какіе, какія	 
 	какие-то		какіе-то, какія-то	 
 	как-нибудь		какъ-нибудь	  
 	какого		какого	 
 	какое		какое	 
 	какое-то		какое-то	 
 	какой		какой	 
 	какой-либо		какой-либо	 
 	какой-нибудь		какой-нибудь	 
 	какой-то		какой-то	 
 	какофонический		какофоническій, какофоническаго	 
 	какофония		какофонія	 
 	как раз		какъ-разъ	 
 	как-то		какъ-то	 
 	калабреза		калабреза	 
 	Калабрия		Калабрія	 
 	каламбур		каламбуръ	 
 	каланча		каланча, на каланчѣ, мн. каланчей, тв. каланчой	 
 	калач		калачъ и колачъ	 
 	калачом		калачёмъ и калачомъ	 
 	Кале		Кале	 
 	калевать		калевать, калюю, калюетъ, калёванный	 
 	калёвка		калёвка	 
 	Каледония		Каледонія	 
 	калейдоскоп		калейдоскопъ, въ калейдоскопѣ	 
 	калека		калѣка, къ калѣкѣ	 
 	календа		календа, календы	 
 	календарного		календарнаго	 
 	календарное		календарное	 
 	календарные		календарные, календарныя	 
 	календарь		календарь, въ календарѣ, календарёмъ	 
 	калёный		калёный, калёнаго	 
 	Калерия		Калерія	 
 	калечащий		калѣчащій	 
 	калечащийся		калѣчащійся	 
 	калечение		калѣченіе	 
 	калеченный		калѣченный	 
 	калеченый		калѣченый	 
 	калечить		калѣчить	 
 	калечиться		калѣчиться	 
 	калечишь		калѣчишь	 
 	калечишься		калѣчишься	 
 	калечные		калѣчные, калѣчныя	 
 	калечный		калѣчный	 
 	калиберный		калиберный	 
 	калиевый		каліевый	 
 	калика		калика, но калѣка	 
 	каллиграфия		каллиграфія	 
 	Каллисфен		Каллисѳенъ	 
 	Каллиопа		Калліопа	 
 	каломель		каломель	 
 	калориметр		калориметръ	 
 	калорифер		калориферъ	 
 	калоша		калоша, галоша	 
 	Кальдерон		Кальдеронъ	 
 	кальян		кальянъ	 
 	камамбер		камамберъ	 
 	камбий		камбій	 
 	камедь		камедь	 
 	камелёк		камелёкъ, сидѣть у камелька	 
 	камелеопард		камелеопардъ	 
 	камелия		камелія	 
 	камена		камена	 
 	каменение		каменѣніе	 
 	каменеть		каменѣть	 
 	Каменец-Подольский		Каменецъ-Подольскій	 
 	каменистый		каменистый	 
 	каменка		каменка	 
 	каменного		каменнаго	 
 	каменное		каменное	 
 	каменные		каменные, каменныя	 
 	каменный		каменный	 
 	каменосек		каменосѣкъ	 
 	каменотёс		каменотёсъ	 
 	Каменск		Каменскъ	 
 	каменщик		каменщикъ	 
 	камень		камень, на камнѣ, им. п. мн. ч. камни и каменья, подъ камнемъ	 
 	камены		камены	 
 	камера		камера, въ камерѣ	 
 	камеральный		камеральный	 
 	камерарий		камерарій	 
 	камергер		камергеръ	 
 	камердинер		камердинеръ	 
 	камеристка		камеристка	 
 	камерного		камернаго	 
 	камерное		камерное	 
 	камерные		камерные, камерныя	 
 	камерный		камерный, камернаго	 
 	камертон		камертонъ	 
 	камер-юнкер		камеръ-юнкеръ	 
 	камешек		камешекъ, камушекъ	 
 	камея		камея	 
 	камзол		камзолъ, въ камзолѣ	 
 	камин		каминъ, въ каминѣ	 
 	каминный		каминный, каминнаго	 
 	каминные		каминные, каминныя	 
 	камней		камней	 
 	камнеломка		камнеломка	 
 	камнепад		камнепадъ	 
 	камнище		камнище	 
 	кампания		кампанія, но компанія	 
 	камуфлет		камуфлетъ	 
 	камфора		камфора и камфара	 
 	камыш		камышъ	 
 	камышевка		камышевка	 
 	канава		канава	 
 	каналец		каналецъ	 
 	канализация		канализація	 
 	канапе		канапе	 
 	канарейка		канарейка	 
 	канат		канатъ, на канатѣ	 
 	канва		канва, вышиваніе по канвѣ	 
 	кандалы		кандалы	 
 	канделябр		канделябръ и канделабръ	 
 	Кандия		Кандія	 
 	Канев		Каневъ	 
 	канелюра		канелюра, каннелюра, каннелированныя колонны	 
 	канефора		канефора	 
 	канитель		канитель	 
 	канифас		канифасъ	 
 	канифоль		канифоль	 
 	канканёр		канканёръ	 
 	канонада		канонада	 
 	канонерка		канонерка	 
 	каноник		каноникъ	 
 	канонический		каноническій	 
 	каноничный		каноничный, каноничнаго, каноничной, каноничныхъ, каноничнѣе, канонично	 
 	канонник		канонникъ	 
 	Кантемир		Кантемиръ	 
 	кантилена		кантилена	 
 	канун		канунъ	 
 	канцелярия		канцелярія	 
 	канцлер		канцлеръ	 
 	канцонетта		канцонетта	 
 	канючить		канючить	 
 	капанье		капанье	 
 	капелла		капелла, пѣть а капелла — безъ инструментальнаго сопровожденія	 
 	капеллан		капелланъ	 
 	капель		капель, капели	 
 	капельдинер		капельдинеръ	 
 	капелька		капелька, по капелькѣ	 
 	капельмейстер		капельмейстеръ	 
 	капельный		капельный, капельный	 
 	капер		каперъ	 
 	Капернаум		Капернаумъ	 
 	каперс		каперсъ	 
 	Капетинги		Капетинги	 
 	капиллярный		капиллярный	 
 	капитал		капиталъ	 
 	капиталоёмкий		капиталоёмкій	 
 	капитан		капитанъ	 
 	капитель		капитель	 
 	Капитолина		Капитолина и Капетолина	 
 	капитуляция		капитуляція	 
 	капище		капище	 
 	капкан		капканъ	 
 	каплевидный		каплевидный	 
 	капля		капля, капель, по каплѣ, каплей	 
 	капор		капоръ	 
 	капот		капотъ	 
 	капрал		капралъ	 
 	каприз		капризъ	 
 	каптенармус		каптенармусъ	 
 	каптёрка		каптёрка	 
 	Капулетти		Капулетти и Монтекки	 
 	капуста		капуста	 
 	капюшон		капюшонъ	 
 	Кар		Каръ, въ Карѣ	 
 	кара		кара, въ карѣ	 
 	карабинер		карабинеръ	 
 	карабкаться		карабкаться	 
 	Караваев		Караваевъ и Короваевъ, Карга-Короваевъ, Кузьминъ-Караваевъ и Кузьминъ-Короваевъ	 
 	каравай		коровай и каравай	 
 	караван		караванъ	 
 	каравелла		каравелла	 
 	караемый		караемый	 
 	каразея		каразея	 
 	каракатица		корокатица	 
 	каракулевый		каракулевый	 
 	каракуль		каракуль и каракуля	 
 	карамель		карамель	 
 	карандаш		карандашъ	 
 	карантин		карантинъ	 
 	карасёвый		карасёвый	 
 	карась		карась	 
 	каратель		каратель	 
 	карать		карать	 
 	караул		караулъ	 
 	карбованец		карбованецъ	 
 	карбункул		карбункулъ	 
 	карбункулёз		карбункулёзъ	 
 	карбюратор		карбураторъ	 
 	карга		карга и корга	 
 	кардан		кардонъ	 
 	кардиология		кардіологія	 
 	каре		карре, каре, въ каре	 
 	кареит		кареитъ	 
 	Карелия		Карелія	 
 	карельский		карельскій	 
 	карелы		карелы	 
 	карета		карета, въ каретѣ	 
 	кариатида		каріатида	 
 	Карибские		Караибскіе	 
 	карие		каріе, карія	 
 	карий		карій, карее, каряя, каріе глаза, карія очи	 
 	кариес		каріесъ, пpи каріесѣ	 
 	карикатура		карикатура, въ карикатурѣ	 
 	Кария		К~арія	 
 	карман		карманъ, въ карманѣ	 
 	кармашек		кармашекъ, въ кармашкѣ	 
 	кармелиты		кармелиты	 
 	карнавал		карнавалъ, на карнавалѣ	 
 	карнеол		карнеолъ	 
 	каротель		каротель	 
 	карпетка		карпетка	 
 	Карское		Карское	 
 	Картагена		Картагена	 
 	картёжник		картёжникъ	 
 	картель		картель	 
 	картечина		картечина	 
 	картечница		картечница	 
 	картечный		картечный	 
 	картечь		картечь, картечью	 
 	картина		картина, на картинѣ	 
 	картинка		картинка, на картинкѣ	 
 	картон		картонъ, на картонѣ	 
 	картонка		картонка, на картонкѣ	 
 	картофель		картофель, картофелемъ, въ картофелѣ	 
 	карточка		карточка, карточекъ, на карточкѣ	 
 	картуз		картузъ	 
 	карусель		карусель, на карусели	 
 	Карфаген		Карѳагенъ	 
 	карцер		карцеръ, въ карцерѣ	 
 	карьер		карьеръ, въ карьерѣ	 
 	карьера		карьера, въ карьерѣ	 
 	касаемо		касаемо	 
 	касаемся		касаемся	 
 	касается		касается	 
 	касаешься		касаешься	 
 	касательно		касательно	 
 	касатка		касатка и косатка	 
 	касаться		касаться, коснуться	 
 	касающиеся		касающіеся, касающіяся	 
 	касающийся		касающійся	 
 	каскадёр		каскадёръ, о каскадёрѣ	 
 	каскет		каскетъ, каскетка	 
